ACCOUNT_NUM,OWNERSHIP_GROUP
00000128341000000,CITY OF DALLAS
00000128344000000,CITY OF DALLAS
00000128347000000,CITY OF DALLAS
00000128350000000,CITY OF DALLAS
00000128464000000,CITY OF DALLAS
00000128476000000,DART
00000128692000000,CITY OF DALLAS
00000128692000200,CITY OF DALLAS
00000128962000000,CITY OF DALLAS
00000128998000100,CITY OF DALLAS
00000129010000000,CITY OF DALLAS
00000129040000100,CITY OF DALLAS
00000129175000000,CITY OF DALLAS
00000129181000100,CITY OF DALLAS
00000129191000100,CITY OF DALLAS
00000129205000000,CITY OF DALLAS
00000129208000100,CITY OF DALLAS
00000129607000000,CITY OF DALLAS
00000129616000000,CITY OF DALLAS
00000129619000000,CITY OF DALLAS
00000129622000000,CITY OF DALLAS
00000129748000000,CITY OF DALLAS
00000129757000000,CITY OF DALLAS
00000129802000000,MULTIPLE OWNERS
00000129805000000,CITY OF DALLAS
00000129814000000,CITY OF DALLAS
00000129910000000,CITY OF DALLAS
00000129934000000,CITY OF DALLAS
00000129976000000,MULTIPLE OWNERS
00000129982000000,MULTIPLE OWNERS
00000129991000000,CITY OF DALLAS
00000129994000000,CITY OF DALLAS
00000129997000000,CITY OF DALLAS
00000130039000000,CITY OF DALLAS
00000130045000000,CITY OF DALLAS
00000130084000000,CITY OF DALLAS
00000130105000000,CITY OF DALLAS
00000130114000000,CITY OF DALLAS
00000131986000000,CITY OF DALLAS
00000132007000000,CITY OF DALLAS
00000132169000000,CITY OF DALLAS
00000132184000000,DALLAS ISD
00000132187000000,DALLAS ISD
00000132190000000,DALLAS ISD
00000132556000000,CITY OF DALLAS
00000132559000000,CITY OF DALLAS
00000133351000000,DALLAS ISD
00000133969000000,CITY OF DALLAS
00000134050000000,DALLAS HOUSING AUTHORITY
00000134095000000,CITY OF DALLAS
00000137509000000,CITY OF DALLAS
00000137551000000,CITY OF DALLAS
00000137605000000,CITY OF DALLAS
00000137623000000,CITY OF DALLAS
00000137623000100,CITY OF DALLAS
00000137650000000,CITY OF DALLAS
00000137653000000,CITY OF DALLAS
00000137656000000,CITY OF DALLAS
00000137663500000,CITY OF DALLAS
00000137663600000,CITY OF DALLAS
00000137668000000,CITY OF DALLAS
00000137680000000,CITY OF DALLAS
00000137710000000,CITY OF DALLAS
00000137758000000,CITY OF DALLAS
00000137830000000,CITY OF DALLAS
00000138121000000,CITY OF DALLAS
00000138127000000,CITY OF DALLAS
00000138148000000,CITY OF DALLAS
00000138394000000,CITY OF DALLAS
00000138394000100,CITY OF DALLAS
00000138523000000,CITY OF DALLAS
00000139207000000,CITY OF DALLAS
00000139216000000,CITY OF DALLAS
00000139219000000,CITY OF DALLAS
00000139258000000,CITY OF DALLAS
00000139261000000,CITY OF DALLAS
00000139273000000,CITY OF DALLAS
00000139399000000,CITY OF DALLAS
00000139405000000,CITY OF DALLAS
00000139432000000,CITY OF DALLAS
00000140569000000,DALLAS COUNTY
00000140671000000,DALLAS COLLEGE
00000140899000000,DALLAS ISD
00000140935000000,CITY OF DALLAS
00000140980000000,CITY OF DALLAS
00000141163000000,CITY OF DALLAS
00000141166000000,CITY OF DALLAS
00000141466000000,CITY OF DALLAS
00000141496000000,MULTIPLE OWNERS
00000141505000000,MULTIPLE OWNERS
00000141700000000,CITY OF DALLAS
00000141703000000,CITY OF DALLAS
00000141706000000,CITY OF DALLAS
00000141709000000,CITY OF DALLAS
00000141712000000,CITY OF DALLAS
00000141715000000,CITY OF DALLAS
00000141718000000,CITY OF DALLAS
00000141721000000,CITY OF DALLAS
00000141724000000,CITY OF DALLAS
00000141727000000,CITY OF DALLAS
00000141730000000,CITY OF DALLAS
00000141734000000,CITY OF DALLAS
00000141736530000,CITY OF DALLAS
00000141766000000,CITY OF DALLAS
00000141787000000,MULTIPLE OWNERS
00000142400000000,MULTIPLE OWNERS
00000143038000000,MULTIPLE OWNERS
00000143194000000,MULTIPLE OWNERS
00000143461000000,CITY OF DALLAS
00000143578000100,CITY OF DALLAS
00000143761000000,MULTIPLE OWNERS
00000143977000000,CITY OF DALLAS
00000144010000000,CITY OF DALLAS
00000144385000000,CITY OF DALLAS
00000145894000000,CITY OF DALLAS
00000146788000000,CITY OF DALLAS
00000146911000000,DALLAS ISD
00000146915000000,DALLAS ISD
00000146918000000,DALLAS ISD
00000146921000000,DALLAS ISD
00000146924000000,DALLAS ISD
00000146935000000,CITY OF DALLAS
00000147117000000,CITY OF DALLAS
00000148372000000,CITY OF DALLAS
00000148594000000,CITY OF DALLAS
00000148627000000,DALLAS HOUSING AUTHORITY
00000149812000000,CITY OF DALLAS
00000149812000100,CITY OF DALLAS
00000150049000000,DART
00000150868000000,DALLAS HOUSING AUTHORITY
00000151030000000,DALLAS ISD
00000152467010000,CITY OF DALLAS
00000152470000000,CITY OF DALLAS
00000152473000000,CITY OF DALLAS
00000152482000000,CITY OF DALLAS
00000152485000000,CITY OF DALLAS
00000153151000000,CITY OF DALLAS
00000153415000000,CITY OF DALLAS
00000153418000000,CITY OF DALLAS
00000153421000000,CITY OF DALLAS
00000153424000000,CITY OF DALLAS
00000153427000000,CITY OF DALLAS
00000153430000000,CITY OF DALLAS
00000153433000000,CITY OF DALLAS
00000153526000000,CITY OF DALLAS
00000153532000000,CITY OF DALLAS
00000153619000000,CITY OF DALLAS
00000153622000000,CITY OF DALLAS
00000153628000000,CITY OF DALLAS
00000153646000000,CITY OF DALLAS
00000153667000000,CITY OF DALLAS
00000153673000000,CITY OF DALLAS
00000153676000000,CITY OF DALLAS
00000153679000000,CITY OF DALLAS
00000153700000000,CITY OF DALLAS
00000153769000000,DALLAS HOUSING AUTHORITY
00000153796000000,CITY OF DALLAS
00000154015000000,DALLAS HOUSING AUTHORITY
00000154129000000,CITY OF DALLAS
00000155215000000,DALLAS HOUSING AUTHORITY
00000156367000000,CITY OF DALLAS
00000158443000000,DALLAS ISD
00000158446000000,DALLAS ISD
00000158464000000,DALLAS ISD
00000159319000000,DALLAS ISD
00000159343000000,CITY OF DALLAS
00000159472000000,CITY OF DALLAS
00000159673000000,MULTIPLE OWNERS
00000159778000000,CITY OF DALLAS
00000160033000000,CITY OF DALLAS
00000162343000000,MULTIPLE OWNERS
00000167149000000,CITY OF DALLAS
00000167212000000,CITY OF DALLAS
00000167257000000,CITY OF DALLAS
00000167269000000,CITY OF DALLAS
00000167380000000,CITY OF DALLAS
00000167794000000,CITY OF DALLAS
00000167812000000,CITY OF DALLAS
00000168641000000,CITY OF DALLAS
00000169129000000,CITY OF DALLAS
00000169216000000,MULTIPLE OWNERS
00000169378000100,CITY OF DALLAS
00000169396000000,CITY OF DALLAS
00000169396000200,CITY OF DALLAS
00000169408000000,CITY OF DALLAS
00000169408000100,CITY OF DALLAS
00000169471000000,CITY OF DALLAS
00000169669000000,MULTIPLE OWNERS
00000169723000000,DALLAS HOUSING AUTHORITY
00000169885000000,CITY OF DALLAS
00000169981000000,DALLAS HOUSING AUTHORITY
00000170131000000,MULTIPLE OWNERS
00000170245000000,CITY OF DALLAS
00000170371000000,DALLAS HOUSING AUTHORITY
00000170806000000,CITY OF DALLAS
00000170848000000,CITY OF DALLAS
00000170968000000,CITY OF DALLAS
00000171754000000,CITY OF DALLAS
00000172198000000,CITY OF DALLAS
00000172357000000,CITY OF DALLAS
00000172549000000,CITY OF DALLAS
00000173551000000,DALLAS HOUSING AUTHORITY
00000173722000000,CITY OF DALLAS
00000173866000000,CITY OF DALLAS
00000173905000000,CITY OF DALLAS
00000174166000100,CITY OF DALLAS
00000174335000000,CITY OF DALLAS
00000174355000000,CITY OF DALLAS
00000174358000000,CITY OF DALLAS
00000174361000000,CITY OF DALLAS
00000174370000000,CITY OF DALLAS
00000174373000000,CITY OF DALLAS
00000174381000000,CITY OF DALLAS
00000174508000000,CITY OF DALLAS
00000174706000000,CITY OF DALLAS
00000174919000000,CITY OF DALLAS
00000175006000000,CITY OF DALLAS
00000175021000000,CITY OF DALLAS
00000175042000000,CITY OF DALLAS
00000175105000000,CITY OF DALLAS
00000175975000000,CITY OF DALLAS
00000175979000000,DALLAS COUNTY
00000175982000000,DALLAS COUNTY
00000176068000000,DALLAS HOUSING AUTHORITY
00000176440000000,MULTIPLE OWNERS
00000176458000000,CITY OF DALLAS
00000176512000000,CITY OF DALLAS
00000176536000000,CITY OF DALLAS
00000176923000000,DART
00000177748000000,CITY OF DALLAS
00000177799000000,CITY OF DALLAS
00000177859000000,CITY OF DALLAS
00000177901000000,MULTIPLE OWNERS
00000178084000000,CITY OF DALLAS
00000178336000000,CITY OF DALLAS
00000178342000000,CITY OF DALLAS
00000178363000000,CITY OF DALLAS
00000178381000000,CITY OF DALLAS
00000178411000000,CITY OF DALLAS
00000178489000000,CITY OF DALLAS
00000178492000000,CITY OF DALLAS
00000178495000000,CITY OF DALLAS
00000178525000000,CITY OF DALLAS
00000178564000000,CITY OF DALLAS
00000178567000000,CITY OF DALLAS
00000178606000000,CITY OF DALLAS
00000178618000000,CITY OF DALLAS
00000178645000000,CITY OF DALLAS
00000178732000000,CITY OF DALLAS
00000178909000000,CITY OF DALLAS
00000178927000000,CITY OF DALLAS
00000179050000000,CITY OF DALLAS
00000179135000000,CITY OF DALLAS
00000179218000000,CITY OF DALLAS
00000179227000000,CITY OF DALLAS
00000179230000000,CITY OF DALLAS
00000179233000000,CITY OF DALLAS
00000179236000000,CITY OF DALLAS
00000179341000000,CITY OF DALLAS
00000179353000000,CITY OF DALLAS
00000179372000000,CITY OF DALLAS
00000179452000000,CITY OF DALLAS
00000179461000000,CITY OF DALLAS
00000179545000000,CITY OF DALLAS
00000179557000000,CITY OF DALLAS
00000179578000000,DALLAS HOUSING AUTHORITY
00000179584000000,CITY OF DALLAS
00000179683000000,CITY OF DALLAS
00000179773000000,CITY OF DALLAS
00000179812000000,CITY OF DALLAS
00000179818000000,CITY OF DALLAS
00000179845000000,CITY OF DALLAS
00000179980000000,CITY OF DALLAS
00000180187000000,CITY OF DALLAS
00000180214000000,CITY OF DALLAS
00000180376000000,MULTIPLE OWNERS
00000180517000000,CITY OF DALLAS
00000180520000000,CITY OF DALLAS
00000180556000000,CITY OF DALLAS
00000180691000000,CITY OF DALLAS
00000180757000000,CITY OF DALLAS
00000180994000000,CITY OF DALLAS
00000181036000000,CITY OF DALLAS
00000181177000000,CITY OF DALLAS
00000181234000000,CITY OF DALLAS
00000181258000000,CITY OF DALLAS
00000181354000000,CITY OF DALLAS
00000181411000000,CITY OF DALLAS
00000181420000000,DALLAS HOUSING AUTHORITY
00000181441000000,CITY OF DALLAS
00000181444000000,CITY OF DALLAS
00000181447000000,CITY OF DALLAS
00000181450000000,CITY OF DALLAS
00000181504000000,CITY OF DALLAS
00000188026000000,CITY OF DALLAS
00000188629000000,DALLAS HOUSING AUTHORITY
00000188632000000,CITY OF DALLAS
00000192577000000,CITY OF DALLAS
00000194698000000,DALLAS HOUSING AUTHORITY
00000197501250000,CITY OF DALLAS
00000197501250100,CITY OF DALLAS
00000200212000000,CITY OF DALLAS
00000200854000000,CITY OF DALLAS
00000200935000000,MULTIPLE OWNERS
00000201205000000,DART
00000201460000000,CITY OF DALLAS
00000201607000000,MULTIPLE OWNERS
00000202930000000,CITY OF DALLAS
00000204865000000,CITY OF DALLAS
00000205852000000,CITY OF DALLAS
00000207052000000,CITY OF DALLAS
00000207121000000,CITY OF DALLAS
00000207142000000,CITY OF DALLAS
00000207148000000,CITY OF DALLAS
00000207442000000,DALLAS ISD
00000207445000000,DALLAS ISD
00000207448000000,DALLAS ISD
00000207451000000,DALLAS ISD
00000207454000000,DALLAS ISD
00000207457000000,DALLAS ISD
00000207460000000,DALLAS ISD
00000207463000000,DALLAS ISD
00000207466000000,DALLAS ISD
00000207469000000,DALLAS ISD
00000207472000000,DALLAS ISD
00000207475000000,DALLAS ISD
00000207478000000,DALLAS ISD
00000207481000000,DALLAS ISD
00000207484000000,DALLAS ISD
00000207487000000,DALLAS ISD
00000207490000000,DALLAS ISD
00000207493000000,DALLAS ISD
00000207496000000,DALLAS ISD
00000207499000000,DALLAS ISD
00000207502000000,DALLAS ISD
00000207583000000,DALLAS ISD
00000207586000000,DALLAS ISD
00000207589000000,DALLAS ISD
00000207592000000,DALLAS ISD
00000207595000000,DALLAS ISD
00000207598000000,DALLAS ISD
00000207601000000,DALLAS ISD
00000207604000000,DALLAS ISD
00000207607000000,DALLAS ISD
00000207610000000,DALLAS ISD
00000207613000000,DALLAS ISD
